full_size_dir,unity_resize_dir,width,height,cosine_similarity
D:\vae_test_set\1920x1080\images\26124.jpg,D:\vae_test_set\1920x1080\64x64\26124.jpg,1920,1080,0.9996695387226593
D:\vae_test_set\1920x1080\images\3764.jpg,D:\vae_test_set\1920x1080\64x64\3764.jpg,1920,1080,0.9997840088752074
D:\vae_test_set\1920x1080\images\10720.jpg,D:\vae_test_set\1920x1080\64x64\10720.jpg,1920,1080,0.9997328515748076
D:\vae_test_set\1920x1080\images\29705.jpg,D:\vae_test_set\1920x1080\64x64\29705.jpg,1920,1080,0.9997847579476798
D:\vae_test_set\1920x1080\images\3142.jpg,D:\vae_test_set\1920x1080\64x64\3142.jpg,1920,1080,0.9997729135295159
D:\vae_test_set\1920x1080\images\4958.jpg,D:\vae_test_set\1920x1080\64x64\4958.jpg,1920,1080,0.9997565097888276
D:\vae_test_set\1920x1080\images\20861.jpg,D:\vae_test_set\1920x1080\64x64\20861.jpg,1920,1080,0.9997694925662095
D:\vae_test_set\1920x1080\images\29960.jpg,D:\vae_test_set\1920x1080\64x64\29960.jpg,1920,1080,0.9997096165961561
D:\vae_test_set\1920x1080\images\3440.jpg,D:\vae_test_set\1920x1080\64x64\3440.jpg,1920,1080,0.9998139750302069
D:\vae_test_set\1920x1080\images\4427.jpg,D:\vae_test_set\1920x1080\64x64\4427.jpg,1920,1080,0.9997174152646656
D:\vae_test_set\1920x1080\images\5689.jpg,D:\vae_test_set\1920x1080\64x64\5689.jpg,1920,1080,0.9997022149343877
D:\vae_test_set\1920x1080\images\21501.jpg,D:\vae_test_set\1920x1080\64x64\21501.jpg,1920,1080,0.9997792783269916
D:\vae_test_set\1920x1080\images\8735.jpg,D:\vae_test_set\1920x1080\64x64\8735.jpg,1920,1080,0.9998157540670581
D:\vae_test_set\1920x1080\images\13163.jpg,D:\vae_test_set\1920x1080\64x64\13163.jpg,1920,1080,0.9997352589765532
D:\vae_test_set\1920x1080\images\3917.jpg,D:\vae_test_set\1920x1080\64x64\3917.jpg,1920,1080,0.9997202703095985
D:\vae_test_set\1920x1080\images\29385.jpg,D:\vae_test_set\1920x1080\64x64\29385.jpg,1920,1080,0.999781866202826
D:\vae_test_set\1920x1080\images\158.jpg,D:\vae_test_set\1920x1080\64x64\158.jpg,1920,1080,0.9997914348758534
D:\vae_test_set\1920x1080\images\17065.jpg,D:\vae_test_set\1920x1080\64x64\17065.jpg,1920,1080,0.9997922879166347
D:\vae_test_set\1920x1080\images\16282.jpg,D:\vae_test_set\1920x1080\64x64\16282.jpg,1920,1080,0.9997855296290236
D:\vae_test_set\1920x1080\images\10342.jpg,D:\vae_test_set\1920x1080\64x64\10342.jpg,1920,1080,0.9997889469282248
D:\vae_test_set\1920x1080\images\13538.jpg,D:\vae_test_set\1920x1080\64x64\13538.jpg,1920,1080,0.9997634512025924
D:\vae_test_set\1920x1080\images\12325.jpg,D:\vae_test_set\1920x1080\64x64\12325.jpg,1920,1080,0.9997134653179344
D:\vae_test_set\1920x1080\images\5466.jpg,D:\vae_test_set\1920x1080\64x64\5466.jpg,1920,1080,0.9997736291173316
D:\vae_test_set\1920x1080\images\4535.jpg,D:\vae_test_set\1920x1080\64x64\4535.jpg,1920,1080,0.9997698453855094
D:\vae_test_set\1920x1080\images\19648.jpg,D:\vae_test_set\1920x1080\64x64\19648.jpg,1920,1080,0.9996773242481427
D:\vae_test_set\1920x1080\images\14415.jpg,D:\vae_test_set\1920x1080\64x64\14415.jpg,1920,1080,0.9997539886607829
D:\vae_test_set\1920x1080\images\22066.jpg,D:\vae_test_set\1920x1080\64x64\22066.jpg,1920,1080,0.9997505690135056
